trial_number	partner	rating_dimension	response
1	friend	trustworthiness	6
2	stranger	trustworthiness	7
3	computer	trustworthiness	3
4	friend	likeability	8
5	stranger	likeability	5
6	computer	likeability	2
7	friend	approachability	5
8	stranger	approachability	5
9	computer	approachability	5
