trial_number	partner	rating_dimension	response
1	friend	trustworthiness	9
2	stranger	trustworthiness	5
3	computer	trustworthiness	2
4	friend	likeability	10
5	stranger	likeability	5
6	computer	likeability	1
7	friend	approachability	8
8	stranger	approachability	7
9	computer	approachability	3
