trial_number	partner	rating_dimension	response
1	friend	trustworthiness	6
2	stranger	trustworthiness	6
3	computer	trustworthiness	4
4	friend	likeability	6
5	stranger	likeability	6
6	computer	likeability	5
7	friend	approachability	5
8	stranger	approachability	5
9	computer	approachability	5
