trial_number	partner	rating_dimension	response
1	friend	trustworthiness	9
2	stranger	trustworthiness	8
3	computer	trustworthiness	6
4	friend	likeability	9
5	stranger	likeability	7
6	computer	likeability	5
7	friend	approachability	9
8	stranger	approachability	7
9	computer	approachability	5
