participant_id	task	timepoint	source_session	source_block	source_file	destination	n_rows	sha256	selection_rule
sub-104	sharedreward	post	2	1	stimuli/psychopy/logs/104/sub104_SR-Ratings-2.csv	sub-104/beh/sub-104_task-sharedreward_acq-post_beh.tsv	6	7d530da25eaf2ecfc5b5d1a474a57ac965976327edec9c72a4e7da6841890e2d	final_complete_attempt
sub-104	trust	pre	1	1	stimuli/psychopy/logs/104/sub104_Investment-Ratings-1.csv	sub-104/beh/sub-104_task-trust_acq-pre_beh.tsv	9	d1718bfc4b378a0354ee1b0e17ece40958ebc6387474d5dcf8952507f0c6b89c	final_complete_attempt
sub-104	ultimatum	post	2	1	stimuli/psychopy/logs/104/sub104_Bargaining-Ratings-2.csv	sub-104/beh/sub-104_task-ultimatum_acq-post_beh.tsv	12	6b8a3859020b94a58c31b8c281dd5dcb0ca3e39eff05d5e05f0636bc29143249	final_complete_attempt
sub-104	ultimatum	pre	1	1	stimuli/psychopy/logs/104/sub104_Bargaining-Ratings-1.csv	sub-104/beh/sub-104_task-ultimatum_acq-pre_beh.tsv	6	8e3183632e2d2a384f4be58626cdc970e63bc3f755549b0b43bed15904e622f7	final_complete_attempt
sub-105	trust	post	2	1	stimuli/psychopy/logs/105/sub105_Investment-Ratings-2.csv	sub-105/beh/sub-105_task-trust_acq-post_beh.tsv	9	1c44b884fca8dad62e462dff2d72520f8a1c482d2b9afec56d4cadfa6432694d	final_complete_attempt
sub-105	trust	pre	1	1	stimuli/psychopy/logs/105/sub105_Investment-Ratings-1.csv	sub-105/beh/sub-105_task-trust_acq-pre_beh.tsv	9	b2b8f7e2476d2864b84d9b48af5ddd20f0a934ad65ba7d42a335c8ea37a14a4f	final_complete_attempt
sub-105	ultimatum	post	2	2	stimuli/psychopy/logs/105/sub105_Bargaining-Ratings-2.csv	sub-105/beh/sub-105_task-ultimatum_acq-post_beh.tsv	12	7ba620011a9690d8d4f65bf24f59d808e324d23d4141c726421b996db2433005	final_complete_attempt
sub-107	sharedreward	post	2	1	stimuli/psychopy/logs/107/sub107_SR-Ratings-2.csv	sub-107/beh/sub-107_task-sharedreward_acq-post_beh.tsv	6	224ed5c930ef1bd3e5269e8373d41d15b129909609f4e7973c702c441fe1234e	final_complete_attempt
sub-107	trust	post	2	1	stimuli/psychopy/logs/107/sub107_Investment-Ratings-2.csv	sub-107/beh/sub-107_task-trust_acq-post_beh.tsv	9	95ea3f46d79dc3b83e4b746db6531bf8f558d2042a4dfe161cf15adb8f18a718	final_complete_attempt
sub-107	trust	pre	1	1	stimuli/psychopy/logs/107/sub107_Investment-Ratings-1.csv	sub-107/beh/sub-107_task-trust_acq-pre_beh.tsv	9	6df106c607b80eeca49b0b692f635af7cbe79fcd4d49677ab73bd5975a049616	final_complete_attempt
sub-107	ultimatum	post	2	1	stimuli/psychopy/logs/107/sub107_Bargaining-Ratings-2.csv	sub-107/beh/sub-107_task-ultimatum_acq-post_beh.tsv	12	b02cade08923dac1e1fd403a9aca3ba3fc0fe6d3971565e47ef75a1aec3e3e84	final_complete_attempt
sub-107	ultimatum	pre	1	1	stimuli/psychopy/logs/107/sub107_Bargaining-Ratings-1.csv	sub-107/beh/sub-107_task-ultimatum_acq-pre_beh.tsv	6	250875a4c693f0582ed2220cf3d6051176a694e43b8597935a6fe433ec5151cf	final_complete_attempt
sub-108	sharedreward	post	2	1	stimuli/psychopy/logs/108/sub108_SR-Ratings-2.csv	sub-108/beh/sub-108_task-sharedreward_acq-post_beh.tsv	6	87631a4fed94f048314bb2a89b51be981cb5e07e69c73033b246e36c09969d38	final_complete_attempt
sub-108	trust	post	2	1	stimuli/psychopy/logs/108/sub108_Investment-Ratings-2.csv	sub-108/beh/sub-108_task-trust_acq-post_beh.tsv	9	d5bb16da8ffb12853d38269bdcb48b290462fb8788c9eb4a2f27eefc786ad5dc	final_complete_attempt
sub-108	trust	pre	1	1	stimuli/psychopy/logs/108/sub108_Investment-Ratings-1.csv	sub-108/beh/sub-108_task-trust_acq-pre_beh.tsv	9	6df106c607b80eeca49b0b692f635af7cbe79fcd4d49677ab73bd5975a049616	final_complete_attempt
sub-108	ultimatum	post	2	1	stimuli/psychopy/logs/108/sub108_Bargaining-Ratings-2.csv	sub-108/beh/sub-108_task-ultimatum_acq-post_beh.tsv	12	75465192101339dd1e76ec274c0d808553d337adc149061b8dd442ad51978ee8	final_complete_attempt
sub-108	ultimatum	pre	1	1	stimuli/psychopy/logs/108/sub108_Bargaining-Ratings-1.csv	sub-108/beh/sub-108_task-ultimatum_acq-pre_beh.tsv	6	06a80aaca879942079ff726e9226aad791cead52c425309e00fa90e7ed5de87d	final_complete_attempt
sub-111	sharedreward	post	2	1	stimuli/psychopy/logs/111/sub111_SR-Ratings-2.csv	sub-111/beh/sub-111_task-sharedreward_acq-post_beh.tsv	6	3be23f16e7cd98dd9bcba30d2f3663cf521f7d7aada1bf33580f24df0092d308	final_complete_attempt
sub-111	trust	post	2	1	stimuli/psychopy/logs/111/sub111_Investment-Ratings-2.csv	sub-111/beh/sub-111_task-trust_acq-post_beh.tsv	9	24ae35d54ae2cc463141db172a5c1fa5454f0e0f01c8d6c2a4f54e9ac05693e4	final_complete_attempt
sub-111	trust	pre	1	1	stimuli/psychopy/logs/111/sub111_Investment-Ratings-1.csv	sub-111/beh/sub-111_task-trust_acq-pre_beh.tsv	9	f5e1549f1dba4684465f3f11e3d07bfbf3d463ff57cff606cbabadf91263dd05	final_complete_attempt
sub-111	ultimatum	post	2	1	stimuli/psychopy/logs/111/sub111_Bargaining-Ratings-2.csv	sub-111/beh/sub-111_task-ultimatum_acq-post_beh.tsv	12	9986ad41fd5e511a8c1a793636635a6b587546b8f46bc22eee1e54bc22259f34	final_complete_attempt
sub-111	ultimatum	pre	1	1	stimuli/psychopy/logs/111/sub111_Bargaining-Ratings-1.csv	sub-111/beh/sub-111_task-ultimatum_acq-pre_beh.tsv	6	855688d678ac67a60084749f4cbe69ddc4ec0f204f5460ef48f78304717fda66	final_complete_attempt
