participant_id	task	timepoint	source_file	n_complete_blocks	n_blocks	changed_cells_between_blocks	maximum_absolute_change	resolution	review_reason
sub-103	trust	pre	stimuli/psychopy/logs/103/sub103_Investment-Ratings-1.csv	2	2	3	1	retain_last_block	repeated_acquisition_version_of_record_rule
sub-104	sharedreward	post	stimuli/psychopy/logs/104/sub104_SR-Ratings-1.csv	1	1	n/a	n/a	exclude_superseded_first_set	sharedreward_second_set_decision_rule
sub-105	ultimatum	post	stimuli/psychopy/logs/105/sub105_Bargaining-Ratings-2.csv	2	2	1	1	retain_last_block	repeated_acquisition_version_of_record_rule
sub-124	trust	post	stimuli/psychopy/logs/124/sub124_Investment-Ratings-2.csv	2	2	1	2	retain_last_block	repeated_acquisition_version_of_record_rule
sub-130	trust	pre	stimuli/psychopy/logs/130/sub130_Investment-Ratings-1.csv	2	2	6	4	retain_last_block	repeated_acquisition_version_of_record_rule
sub-134	ultimatum	post	stimuli/psychopy/logs/134/sub134_Bargaining-Ratings-2.csv	2	2	4	5	retain_last_block	repeated_acquisition_version_of_record_rule
sub-134	trust	pre	stimuli/psychopy/logs/134/sub134_Investment-Ratings-1.csv	2	2	3	1	retain_last_block	repeated_acquisition_version_of_record_rule
sub-144	ultimatum	pre	stimuli/psychopy/logs/144/sub144_Bargaining-Ratings-1.csv	2	2	5	5	retain_last_block	repeated_acquisition_version_of_record_rule
sub-144	ultimatum	post	stimuli/psychopy/logs/144/sub144_Bargaining-Ratings-2.csv	2	2	7	2	retain_last_block	repeated_acquisition_version_of_record_rule
sub-144	trust	pre	stimuli/psychopy/logs/144/sub144_Investment-Ratings-1.csv	2	2	9	4	retain_last_block	repeated_acquisition_version_of_record_rule
sub-144	trust	post	stimuli/psychopy/logs/144/sub144_Investment-Ratings-2.csv	2	2	9	7	retain_last_block	repeated_acquisition_version_of_record_rule
sub-144	sharedreward	post	stimuli/psychopy/logs/144/sub144_SR-Ratings-2.csv	2	2	5	4	retain_last_block	repeated_acquisition_version_of_record_rule
sub-205	trust	pre	stimuli/psychopy/logs/205/sub205_Investment-Ratings-1.csv	2	2	6	5	retain_last_block	repeated_acquisition_version_of_record_rule
sub-210	trust	pre	stimuli/psychopy/logs/210/sub210_Investment-Ratings-1.csv	2	2	7	4	retain_last_block	repeated_acquisition_version_of_record_rule
sub-227	trust	post	stimuli/psychopy/logs/227/sub227_Investment-Ratings-2.csv	2	2	2	5	retain_last_block	repeated_acquisition_version_of_record_rule
sub-229	trust	pre	stimuli/psychopy/logs/229/sub229_Investment-Ratings-1.csv	2	2	9	4	retain_last_block	repeated_acquisition_version_of_record_rule
sub-236	ultimatum	pre	stimuli/psychopy/logs/236/sub236_Bargaining-Ratings-1.csv	2	2	1	1	retain_last_block	repeated_acquisition_version_of_record_rule
sub-244	ultimatum	pre	stimuli/psychopy/logs/244/sub244_Bargaining-Ratings-1.csv	2	2	0	0	collapse_exact_duplicate	exact_duplicate_acquisition_block
sub-244	trust	pre	stimuli/psychopy/logs/244/sub244_Investment-Ratings-1.csv	2	2	6	5	retain_last_block	repeated_acquisition_version_of_record_rule
sub-244	trust	post	stimuli/psychopy/logs/244/sub244_Investment-Ratings-2.csv	2	2	8	6	retain_last_block	repeated_acquisition_version_of_record_rule
sub-247	trust	pre	stimuli/psychopy/logs/247/sub247_Investment-Ratings-1.csv	2	2	5	4	retain_last_block	repeated_acquisition_version_of_record_rule
sub-248	trust	pre	stimuli/psychopy/logs/248/sub248_Investment-Ratings-1.csv	2	2	9	5	retain_last_block	repeated_acquisition_version_of_record_rule
sub-253	trust	pre	stimuli/psychopy/logs/253/sub253_Investment-Ratings-1.csv	2	2	8	10	retain_last_block	repeated_acquisition_version_of_record_rule
sub-999	trust	pre	stimuli/psychopy/logs/999/sub999_Investment-Ratings-1.csv	2	2	2	2	retain_last_block	repeated_acquisition_version_of_record_rule
