participant_id	task	timepoint	expected	n_source_files	n_blocks	source_files	status
sub-104	ultimatum	pre	true	1	1	stimuli/psychopy/logs/104/sub104_Bargaining-Ratings-1.csv	complete
sub-104	ultimatum	post	true	1	1	stimuli/psychopy/logs/104/sub104_Bargaining-Ratings-2.csv	complete
sub-104	trust	pre	true	1	1	stimuli/psychopy/logs/104/sub104_Investment-Ratings-1.csv	complete
sub-104	trust	post	true	0	0		missing
sub-104	sharedreward	post	true	1	1	stimuli/psychopy/logs/104/sub104_SR-Ratings-2.csv	complete
sub-105	ultimatum	pre	true	0	0		missing
sub-105	ultimatum	post	true	1	2	stimuli/psychopy/logs/105/sub105_Bargaining-Ratings-2.csv	multiple_blocks_needs_review
sub-105	trust	pre	true	1	1	stimuli/psychopy/logs/105/sub105_Investment-Ratings-1.csv	complete
sub-105	trust	post	true	1	1	stimuli/psychopy/logs/105/sub105_Investment-Ratings-2.csv	complete
sub-105	sharedreward	post	true	0	0		missing
sub-106	ultimatum	pre	true	0	0		missing
sub-106	ultimatum	post	true	0	0		missing
sub-106	trust	pre	true	0	0		missing
sub-106	trust	post	true	0	0		missing
sub-106	sharedreward	post	true	0	0		missing
sub-107	ultimatum	pre	true	1	1	stimuli/psychopy/logs/107/sub107_Bargaining-Ratings-1.csv	complete
sub-107	ultimatum	post	true	1	1	stimuli/psychopy/logs/107/sub107_Bargaining-Ratings-2.csv	complete
sub-107	trust	pre	true	1	1	stimuli/psychopy/logs/107/sub107_Investment-Ratings-1.csv	complete
sub-107	trust	post	true	1	1	stimuli/psychopy/logs/107/sub107_Investment-Ratings-2.csv	complete
sub-107	sharedreward	post	true	1	1	stimuli/psychopy/logs/107/sub107_SR-Ratings-2.csv	complete
sub-108	ultimatum	pre	true	1	1	stimuli/psychopy/logs/108/sub108_Bargaining-Ratings-1.csv	complete
sub-108	ultimatum	post	true	1	1	stimuli/psychopy/logs/108/sub108_Bargaining-Ratings-2.csv	complete
sub-108	trust	pre	true	1	1	stimuli/psychopy/logs/108/sub108_Investment-Ratings-1.csv	complete
sub-108	trust	post	true	1	1	stimuli/psychopy/logs/108/sub108_Investment-Ratings-2.csv	complete
sub-108	sharedreward	post	true	1	1	stimuli/psychopy/logs/108/sub108_SR-Ratings-2.csv	complete
sub-109	ultimatum	pre	true	0	0		missing
sub-109	ultimatum	post	true	0	0		missing
sub-109	trust	pre	true	0	0		missing
sub-109	trust	post	true	0	0		missing
sub-109	sharedreward	post	true	0	0		missing
sub-110	ultimatum	pre	true	0	0		missing
sub-110	ultimatum	post	true	0	0		missing
sub-110	trust	pre	true	0	0		missing
sub-110	trust	post	true	0	0		missing
sub-110	sharedreward	post	true	0	0		missing
sub-111	ultimatum	pre	true	1	1	stimuli/psychopy/logs/111/sub111_Bargaining-Ratings-1.csv	complete
sub-111	ultimatum	post	true	1	1	stimuli/psychopy/logs/111/sub111_Bargaining-Ratings-2.csv	complete
sub-111	trust	pre	true	1	1	stimuli/psychopy/logs/111/sub111_Investment-Ratings-1.csv	complete
sub-111	trust	post	true	1	1	stimuli/psychopy/logs/111/sub111_Investment-Ratings-2.csv	complete
sub-111	sharedreward	post	true	1	1	stimuli/psychopy/logs/111/sub111_SR-Ratings-2.csv	complete
sub-112	ultimatum	pre	true	1	1	stimuli/psychopy/logs/112/sub112_Bargaining-Ratings-1.csv	complete
sub-112	ultimatum	post	true	1	1	stimuli/psychopy/logs/112/sub112_Bargaining-Ratings-2.csv	complete
sub-112	trust	pre	true	1	1	stimuli/psychopy/logs/112/sub112_Investment-Ratings-1.csv	complete
sub-112	trust	post	true	1	1	stimuli/psychopy/logs/112/sub112_Investment-Ratings-2.csv	complete
sub-112	sharedreward	post	true	1	1	stimuli/psychopy/logs/112/sub112_SR-Ratings-2.csv	complete
sub-113	ultimatum	pre	true	1	1	stimuli/psychopy/logs/113/sub113_Bargaining-Ratings-1.csv	complete
sub-113	ultimatum	post	true	1	1	stimuli/psychopy/logs/113/sub113_Bargaining-Ratings-2.csv	complete
sub-113	trust	pre	true	1	1	stimuli/psychopy/logs/113/sub113_Investment-Ratings-1.csv	complete
sub-113	trust	post	true	1	1	stimuli/psychopy/logs/113/sub113_Investment-Ratings-2.csv	complete
sub-113	sharedreward	post	true	1	1	stimuli/psychopy/logs/113/sub113_SR-Ratings-2.csv	complete
sub-115	ultimatum	pre	true	1	1	stimuli/psychopy/logs/115/sub115_Bargaining-Ratings-1.csv	complete
sub-115	ultimatum	post	true	1	1	stimuli/psychopy/logs/115/sub115_Bargaining-Ratings-2.csv	complete
sub-115	trust	pre	true	1	1	stimuli/psychopy/logs/115/sub115_Investment-Ratings-1.csv	complete
sub-115	trust	post	true	1	1	stimuli/psychopy/logs/115/sub115_Investment-Ratings-2.csv	complete
sub-115	sharedreward	post	true	1	1	stimuli/psychopy/logs/115/sub115_SR-Ratings-2.csv	complete
sub-116	ultimatum	pre	true	1	1	stimuli/psychopy/logs/116/sub116_Bargaining-Ratings-1.csv	complete
sub-116	ultimatum	post	true	1	1	stimuli/psychopy/logs/116/sub116_Bargaining-Ratings-2.csv	complete
sub-116	trust	pre	true	1	1	stimuli/psychopy/logs/116/sub116_Investment-Ratings-1.csv	complete
sub-116	trust	post	true	1	1	stimuli/psychopy/logs/116/sub116_Investment-Ratings-2.csv	complete
sub-116	sharedreward	post	true	1	1	stimuli/psychopy/logs/116/sub116_SR-Ratings-2.csv	complete
sub-117	ultimatum	pre	true	1	1	stimuli/psychopy/logs/117/sub117_Bargaining-Ratings-1.csv	complete
sub-117	ultimatum	post	true	1	1	stimuli/psychopy/logs/117/sub117_Bargaining-Ratings-2.csv	complete
sub-117	trust	pre	true	1	1	stimuli/psychopy/logs/117/sub117_Investment-Ratings-1.csv	complete
sub-117	trust	post	true	1	1	stimuli/psychopy/logs/117/sub117_Investment-Ratings-2.csv	complete
sub-117	sharedreward	post	true	1	1	stimuli/psychopy/logs/117/sub117_SR-Ratings-2.csv	complete
sub-118	ultimatum	pre	true	1	1	stimuli/psychopy/logs/118/sub118_Bargaining-Ratings-1.csv	complete
sub-118	ultimatum	post	true	0	0		missing
sub-118	trust	pre	true	1	1	stimuli/psychopy/logs/118/sub118_Investment-Ratings-1.csv	complete
sub-118	trust	post	true	1	1	stimuli/psychopy/logs/118/sub118_Investment-Ratings-2.csv	complete
sub-118	sharedreward	post	true	1	1	stimuli/psychopy/logs/118/sub118_SR-Ratings-2.csv	complete
sub-120	ultimatum	pre	true	1	1	stimuli/psychopy/logs/120/sub120_Bargaining-Ratings-1.csv	complete
sub-120	ultimatum	post	true	1	1	stimuli/psychopy/logs/120/sub120_Bargaining-Ratings-2.csv	complete
sub-120	trust	pre	true	1	1	stimuli/psychopy/logs/120/sub120_Investment-Ratings-1.csv	complete
sub-120	trust	post	true	1	1	stimuli/psychopy/logs/120/sub120_Investment-Ratings-2.csv	complete
