trial_number	partner	rating_dimension	response
1	similar	fairness	6
2	dissimilar	fairness	6
3	computer	fairness	5
4	similar	likeability	6
5	dissimilar	likeability	6
6	computer	likeability	5
7	similar	anger	4
8	dissimilar	anger	4
9	computer	anger	3
10	similar	satisfaction	6
11	dissimilar	satisfaction	6
12	computer	satisfaction	6
