trial_number	partner	rating_dimension	response
1	friend	trustworthiness	10
2	stranger	trustworthiness	7
3	computer	trustworthiness	7
4	friend	likeability	8
5	stranger	likeability	7
6	computer	likeability	8
7	friend	approachability	3
8	stranger	approachability	6
9	computer	approachability	5
