trial_number	partner	rating_dimension	response
1	friend	trustworthiness	4
2	stranger	trustworthiness	6
3	computer	trustworthiness	7
4	friend	likeability	4
5	stranger	likeability	6
6	computer	likeability	6
7	friend	approachability	5
8	stranger	approachability	4
9	computer	approachability	6
