trial_number	partner	rating_dimension	response
1	friend	trustworthiness	7
2	stranger	trustworthiness	7
3	computer	trustworthiness	7
4	friend	likeability	10
5	stranger	likeability	8
6	computer	likeability	3
7	friend	approachability	10
8	stranger	approachability	8
9	computer	approachability	3
