trial_number	partner	rating_dimension	response
1	similar	fairness	9
2	dissimilar	fairness	5
3	computer	fairness	5
4	similar	likeability	8
5	dissimilar	likeability	6
6	computer	likeability	5
7	similar	anger	4
8	dissimilar	anger	3
9	computer	anger	5
10	similar	satisfaction	8
11	dissimilar	satisfaction	6
12	computer	satisfaction	5
