onset	duration	trial_type	response_time	Offer
4.011200	3.513350	event_reject_computer	1.789020	6
4.011200	3.513350	event_computer	1.789020	6
4.011200	33.500000	block_computer_fair	n/a	n/a
8.292720	3.513390	event_reject_computer	1.021050	4
8.292720	3.513390	event_computer	1.021050	4
8.292720	0	event_RT	1.021050	4
12.574400	3.529040	event_reject_computer	1.219290	8
12.574400	3.529040	event_computer	1.219290	8
12.574400	0	event_RT	1.219290	8
16.871700	3.529180	event_reject_computer	1.251790	7
16.871700	3.529180	event_computer	1.251790	7
16.871700	0	event_RT	1.251790	7
21.168900	3.529010	event_reject_computer	1.017600	7
21.168900	3.529010	event_computer	1.017600	7
21.168900	0	event_RT	1.017600	7
25.466100	3.513650	event_accept_computer	1.166950	9
25.466100	3.513650	event_computer	1.166950	9
25.466100	0	event_RT	1.166950	9
29.747900	3.529270	event_accept_computer	1.031960	9
29.747900	3.529270	event_computer	1.031960	9
29.747900	0	event_RT	1.031960	9
34.045200	3.529240	event_reject_computer	1.030740	7
34.045200	3.529240	event_computer	1.030740	7
34.045200	0	event_RT	1.030740	7
47.597400	3.509810	event_accept_ingroup	1.384080	9
47.597400	3.509810	event_ingroup	1.384080	9
47.597400	33.500000	block_ingroup_fair	n/a	n/a
51.876000	3.513020	event_accept_ingroup	1.118780	9
51.876000	3.513020	event_ingroup	1.118780	9
51.876000	0	event_RT	1.118780	9
56.157400	3.513160	event_reject_ingroup	1.183840	8
56.157400	3.513160	event_ingroup	1.183840	8
56.157400	0	event_RT	1.183840	8
60.439100	3.528810	event_reject_ingroup	1.032080	7
60.439100	3.528810	event_ingroup	1.032080	7
60.439100	0	event_RT	1.032080	7
64.736400	3.528880	event_reject_ingroup	1.030940	7
64.736400	3.528880	event_ingroup	1.030940	7
64.736400	0	event_RT	1.030940	7
69.033700	3.528870	event_reject_ingroup	1.030140	8
69.033700	3.528870	event_ingroup	1.030140	8
69.033700	0	event_RT	1.030140	8
73.331100	3.513210	event_reject_ingroup	1.029240	5
73.331100	3.513210	event_ingroup	1.029240	5
73.331100	0	event_RT	1.029240	5
77.613100	3.512920	event_reject_ingroup	1.027070	4
77.613100	3.512920	event_ingroup	1.027070	4
77.613100	0	event_RT	1.027070	4
93.146900	3.527590	event_reject_outgroup	1.297250	1
93.146900	3.527590	event_outgroup	1.297250	1
93.146900	33.500000	block_outgroup_unfair	n/a	n/a
97.443500	3.528400	event_reject_outgroup	1.030370	3
97.443500	3.528400	event_outgroup	1.030370	3
97.443500	0	event_RT	1.030370	3
101.741000	3.528510	event_reject_outgroup	1.030270	1
101.741000	3.528510	event_outgroup	1.030270	1
101.741000	0	event_RT	1.030270	1
106.038000	3.512830	event_reject_outgroup	1.028870	4
106.038000	3.512830	event_outgroup	1.028870	4
106.038000	0	event_RT	1.028870	4
110.320000	3.512860	event_reject_outgroup	1.026870	3
110.320000	3.512860	event_outgroup	1.026870	3
110.320000	0	event_RT	1.026870	3
114.602000	3.512830	event_reject_outgroup	1.024980	2
114.602000	3.512830	event_outgroup	1.024980	2
114.602000	0	event_RT	1.024980	2
118.883000	3.512880	event_reject_outgroup	1.023110	5
118.883000	3.512880	event_outgroup	1.023110	5
118.883000	0	event_RT	1.023110	5
123.165000	3.512910	event_accept_outgroup	1.021250	10
123.165000	3.512910	event_outgroup	1.021250	10
123.165000	0	event_RT	1.021250	10
134.697000	3.512900	event_reject_outgroup	1.029410	6
134.697000	3.512900	event_outgroup	1.029410	6
134.697000	33.500000	block_outgroup_fair	n/a	n/a
138.979000	3.512870	event_reject_outgroup	1.027370	4
138.979000	3.512870	event_outgroup	1.027370	4
138.979000	0	event_RT	1.027370	4
143.261000	3.512840	event_accept_outgroup	1.225520	9
143.261000	3.512840	event_outgroup	1.225520	9
143.261000	0	event_RT	1.225520	9
147.542000	3.512850	event_reject_outgroup	1.706480	8
147.542000	3.512850	event_outgroup	1.706480	8
147.542000	0	event_RT	1.706480	8
151.824000	3.512730	event_accept_outgroup	1.021540	10
151.824000	3.512730	event_outgroup	1.021540	10
151.824000	0	event_RT	1.021540	10
156.106000	3.512670	event_reject_outgroup	1.053170	8
156.106000	3.512670	event_outgroup	1.053170	8
156.106000	0	event_RT	1.053170	8
160.388000	3.528450	event_accept_outgroup	1.017740	10
160.388000	3.528450	event_outgroup	1.017740	10
160.388000	0	event_RT	1.017740	10
164.685000	3.528370	event_accept_outgroup	1.017120	9
164.685000	3.528370	event_outgroup	1.017120	9
164.685000	0	event_RT	1.017120	9
178.234000	3.512620	event_reject_computer	1.224010	2
178.234000	3.512620	event_computer	1.224010	2
178.234000	33.500000	block_computer_unfair	n/a	n/a
