onset	duration	trial_type	response_time	Offer
4.012980	3.517970	missed_trial	n/a	1
4.012980	33.500000	block_outgroup_unfair	n/a	n/a
8.283920	3.511300	event_reject_outgroup	1.029310	3
8.283920	3.511300	event_outgroup	1.029310	3
8.283920	0	event_RT	1.029310	3
12.551100	3.529670	event_reject_outgroup	2.208210	2
12.551100	3.529670	event_outgroup	2.208210	2
12.551100	0	event_RT	2.208210	2
16.844100	3.526830	event_reject_outgroup	1.262180	4
16.844100	3.526830	event_outgroup	1.262180	4
16.844100	0	event_RT	1.262180	4
21.136600	3.515550	event_reject_outgroup	1.083300	7
21.136600	3.515550	event_outgroup	1.083300	7
21.136600	0	event_RT	1.083300	7
25.399000	3.527920	event_reject_outgroup	1.999950	5
25.399000	3.527920	event_outgroup	1.999950	5
25.399000	0	event_RT	1.999950	5
29.685800	3.529040	event_reject_outgroup	1.293570	3
29.685800	3.529040	event_outgroup	1.293570	3
29.685800	0	event_RT	1.293570	3
33.978300	3.511220	event_reject_outgroup	1.031410	3
33.978300	3.511220	event_outgroup	1.031410	3
33.978300	0	event_RT	1.031410	3
49.509700	3.519260	event_reject_outgroup	2.468630	7
49.509700	3.519260	event_outgroup	2.468630	7
49.509700	33.500000	block_outgroup_fair	n/a	n/a
53.783900	3.515490	event_reject_outgroup	1.025510	4
53.783900	3.515490	event_outgroup	1.025510	4
53.783900	0	event_RT	1.025510	4
58.052500	3.524830	event_reject_outgroup	1.020090	8
58.052500	3.524830	event_outgroup	1.020090	8
58.052500	0	event_RT	1.020090	8
62.345600	3.503630	event_reject_outgroup	1.273470	6
62.345600	3.503630	event_outgroup	1.273470	6
62.345600	0	event_RT	1.273470	6
66.607600	3.527800	event_reject_outgroup	1.024380	8
66.607600	3.527800	event_outgroup	1.024380	8
66.607600	0	event_RT	1.024380	8
70.881900	3.516230	event_reject_outgroup	2.146110	8
70.881900	3.516230	event_outgroup	2.146110	8
70.881900	0	event_RT	2.146110	8
75.149500	3.522370	missed_trial	n/a	7
79.431600	3.527780	missed_trial	n/a	9
94.958200	3.512600	event_reject_ingroup	2.516240	6
94.958200	3.512600	event_ingroup	2.516240	6
94.958200	33.500000	block_ingroup_fair	n/a	n/a
99.218400	3.529870	event_reject_ingroup	2.152980	7
99.218400	3.529870	event_ingroup	2.152980	7
99.218400	0	event_RT	2.152980	7
103.513000	3.509910	event_accept_ingroup	1.171650	10
103.513000	3.509910	event_ingroup	1.171650	10
103.513000	0	event_RT	1.171650	10
107.783000	3.512300	event_reject_ingroup	1.031550	7
107.783000	3.512300	event_ingroup	1.031550	7
107.783000	0	event_RT	1.031550	7
112.062000	3.527500	event_reject_ingroup	1.032710	3
112.062000	3.527500	event_ingroup	1.032710	3
112.062000	0	event_RT	1.032710	3
116.337000	3.505530	event_accept_ingroup	1.803590	9
116.337000	3.505530	event_ingroup	1.803590	9
116.337000	0	event_RT	1.803590	9
120.605000	3.528480	event_reject_ingroup	1.031940	7
120.605000	3.528480	event_ingroup	1.031940	7
120.605000	0	event_RT	1.031940	7
124.901000	3.513510	event_accept_ingroup	1.032600	10
124.901000	3.513510	event_ingroup	1.032600	10
124.901000	0	event_RT	1.032600	10
136.429000	3.518250	missed_trial	n/a	1
136.429000	33.500000	block_ingroup_unfair	n/a	n/a
140.699000	3.527500	missed_trial	n/a	3
144.999000	3.524800	event_reject_ingroup	1.019640	3
144.999000	3.524800	event_ingroup	1.019640	3
144.999000	0	event_RT	1.019640	3
149.287000	3.525450	missed_trial	n/a	1
153.565000	3.522290	event_reject_ingroup	1.028400	8
153.565000	3.522290	event_ingroup	1.028400	8
153.565000	0	event_RT	1.028400	8
157.846000	3.512250	event_reject_ingroup	1.027740	1
157.846000	3.512250	event_ingroup	1.027740	1
157.846000	0	event_RT	1.027740	1
162.125000	3.528310	event_reject_ingroup	1.028190	1
162.125000	3.528310	event_ingroup	1.028190	1
162.125000	0	event_RT	1.028190	1
166.405000	3.522220	event_reject_ingroup	2.311620	5
166.405000	3.522220	event_ingroup	2.311620	5
166.405000	0	event_RT	2.311620	5
179.941000	3.538110	missed_trial	n/a	9
179.941000	33.500000	block_computer_fair	n/a	n/a
184.226000	3.510560	event_accept_computer	1.026300	10
184.226000	3.510560	event_computer	1.026300	10
184.226000	0	event_RT	1.026300	10
188.489000	3.517910	event_accept_computer	1.310210	7
188.489000	3.517910	event_computer	1.310210	7
188.489000	0	event_RT	1.310210	7
192.764000	3.513270	event_accept_computer	1.031320	8
192.764000	3.513270	event_computer	1.031320	8
192.764000	0	event_RT	1.031320	8
197.032000	3.513480	event_reject_computer	1.326130	6
197.032000	3.513480	event_computer	1.326130	6
197.032000	0	event_RT	1.326130	6
201.307000	3.517370	event_reject_computer	1.214730	1
201.307000	3.517370	event_computer	1.214730	1
201.307000	0	event_RT	1.214730	1
205.573000	3.527230	event_accept_computer	1.027920	8
205.573000	3.527230	event_computer	1.027920	8
205.573000	0	event_RT	1.027920	8
209.850000	3.516670	event_accept_computer	1.064240	8
209.850000	3.516670	event_computer	1.064240	8
209.850000	0	event_RT	1.064240	8
221.385000	3.515290	event_accept_ingroup	1.019680	8
221.385000	3.515290	event_ingroup	1.019680	8
221.385000	33.500000	block_ingroup_fair	n/a	n/a
225.654000	3.523890	event_accept_ingroup	1.030470	10
225.654000	3.523890	event_ingroup	1.030470	10
225.654000	0	event_RT	1.030470	10
229.932000	3.525810	missed_trial	n/a	6
234.215000	3.522010	event_reject_ingroup	1.029870	2
234.215000	3.522010	event_ingroup	1.029870	2
234.215000	0	event_RT	1.029870	2
238.503000	3.510070	event_accept_ingroup	2.653620	9
238.503000	3.510070	event_ingroup	2.653620	9
238.503000	0	event_RT	2.653620	9
242.768000	3.510050	event_accept_ingroup	1.335540	8
242.768000	3.510050	event_ingroup	1.335540	8
242.768000	0	event_RT	1.335540	8
247.031000	3.519920	event_accept_ingroup	1.019830	10
247.031000	3.519920	event_ingroup	1.019830	10
247.031000	0	event_RT	1.019830	10
251.315000	3.510850	event_reject_ingroup	1.548650	7
251.315000	3.510850	event_ingroup	1.548650	7
251.315000	0	event_RT	1.548650	7
266.841000	3.512310	event_reject_outgroup	2.108540	5
266.841000	3.512310	event_outgroup	2.108540	5
266.841000	33.500000	block_outgroup_fair	n/a	n/a
271.105000	3.517390	event_accept_outgroup	1.026190	8
271.105000	3.517390	event_outgroup	1.026190	8
271.105000	0	event_RT	1.026190	8
275.378000	3.520270	event_accept_outgroup	1.032530	10
275.378000	3.520270	event_outgroup	1.032530	10
275.378000	0	event_RT	1.032530	10
279.665000	3.525180	event_reject_outgroup	1.291890	1
279.665000	3.525180	event_outgroup	1.291890	1
279.665000	0	event_RT	1.291890	1
283.948000	3.519610	event_accept_outgroup	1.071450	7
283.948000	3.519610	event_outgroup	1.071450	7
283.948000	0	event_RT	1.071450	7
288.224000	3.509390	event_accept_outgroup	1.025610	7
288.224000	3.509390	event_outgroup	1.025610	7
288.224000	0	event_RT	1.025610	7
292.480000	3.518270	event_accept_outgroup	1.033250	8
292.480000	3.518270	event_outgroup	1.033250	8
292.480000	0	event_RT	1.033250	8
296.750000	3.527550	event_accept_outgroup	1.025890	10
296.750000	3.527550	event_outgroup	1.025890	10
296.750000	0	event_RT	1.025890	10
310.285000	3.527780	event_accept_outgroup	1.263940	7
310.285000	3.527780	event_outgroup	1.263940	7
310.285000	33.500000	block_outgroup_unfair	n/a	n/a
314.563000	3.518450	event_reject_outgroup	1.731610	3
314.563000	3.518450	event_outgroup	1.731610	3
314.563000	0	event_RT	1.731610	3
318.833000	3.512970	event_reject_outgroup	1.191860	1
318.833000	3.512970	event_outgroup	1.191860	1
318.833000	0	event_RT	1.191860	1
323.110000	3.514680	event_reject_outgroup	1.394150	4
323.110000	3.514680	event_outgroup	1.394150	4
323.110000	0	event_RT	1.394150	4
327.387000	3.526890	missed_trial	n/a	4
331.667000	3.528540	event_accept_outgroup	1.647110	6
331.667000	3.528540	event_outgroup	1.647110	6
331.667000	0	event_RT	1.647110	6
335.965000	3.526960	missed_trial	n/a	1
340.260000	3.516690	event_reject_outgroup	1.679390	2
340.260000	3.516690	event_outgroup	1.679390	2
340.260000	0	event_RT	1.679390	2
351.795000	3.513170	event_reject_computer	1.170280	3
351.795000	3.513170	event_computer	1.170280	3
351.795000	33.500000	block_computer_unfair	n/a	n/a
356.079000	3.506570	event_accept_computer	1.031400	5
356.079000	3.506570	event_computer	1.031400	5
356.079000	0	event_RT	1.031400	5
360.339000	3.509920	event_accept_computer	1.851980	9
360.339000	3.509920	event_computer	1.851980	9
360.339000	0	event_RT	1.851980	9
364.598000	3.517340	event_reject_computer	1.305660	3
364.598000	3.517340	event_computer	1.305660	3
364.598000	0	event_RT	1.305660	3
368.875000	3.524510	event_accept_computer	1.825100	2
368.875000	3.524510	event_computer	1.825100	2
368.875000	0	event_RT	1.825100	2
373.162000	3.510190	event_accept_computer	1.085340	3
373.162000	3.510190	event_computer	1.085340	3
373.162000	0	event_RT	1.085340	3
377.436000	3.513950	event_reject_computer	1.973840	2
377.436000	3.513950	event_computer	1.973840	2
377.436000	0	event_RT	1.973840	2
381.701000	3.512490	event_reject_computer	1.639180	1
381.701000	3.512490	event_computer	1.639180	1
381.701000	0	event_RT	1.639180	1
