onset	duration	trial_type	response_time	Offer
3.994770	3.517040	event_accept_ingroup	1.146000	10
3.994770	3.517040	event_ingroup	1.146000	10
3.994770	33.500000	block_ingroup_fair	n/a	n/a
8.266960	3.515990	event_accept_ingroup	1.386880	8
8.266960	3.515990	event_ingroup	1.386880	8
8.266960	0	event_RT	1.386880	8
12.536000	3.545220	missed_trial	n/a	1
16.834800	3.514330	event_accept_ingroup	1.028670	9
16.834800	3.514330	event_ingroup	1.028670	9
16.834800	0	event_RT	1.028670	9
21.102100	3.512830	event_accept_ingroup	1.025460	10
21.102100	3.512830	event_ingroup	1.025460	10
21.102100	0	event_RT	1.025460	10
25.367400	3.508640	event_accept_ingroup	1.555460	7
25.367400	3.508640	event_ingroup	1.555460	7
25.367400	0	event_RT	1.555460	7
29.621900	3.505660	event_accept_ingroup	1.381120	7
29.621900	3.505660	event_ingroup	1.381120	7
29.621900	0	event_RT	1.381120	7
33.883600	3.517510	event_accept_ingroup	1.565670	6
33.883600	3.517510	event_ingroup	1.565670	6
33.883600	0	event_RT	1.565670	6
49.401300	3.509300	event_accept_ingroup	1.018690	6
49.401300	3.509300	event_ingroup	1.018690	6
49.401300	33.500000	block_ingroup_unfair	n/a	n/a
53.665500	3.524620	missed_trial	n/a	2
57.939700	3.514520	event_accept_ingroup	1.956040	4
57.939700	3.514520	event_ingroup	1.956040	4
57.939700	0	event_RT	1.956040	4
62.196800	3.515960	event_accept_ingroup	1.312640	7
62.196800	3.515960	event_ingroup	1.312640	7
62.196800	0	event_RT	1.312640	7
66.463000	3.507990	event_accept_ingroup	2.758460	1
66.463000	3.507990	event_ingroup	2.758460	1
66.463000	0	event_RT	2.758460	1
70.737400	3.514550	event_accept_ingroup	1.914460	1
70.737400	3.514550	event_ingroup	1.914460	1
70.737400	0	event_RT	1.914460	1
74.993100	3.519340	event_accept_ingroup	1.422540	1
74.993100	3.519340	event_ingroup	1.422540	1
74.993100	0	event_RT	1.422540	1
79.255000	3.517950	event_accept_ingroup	1.540210	3
79.255000	3.517950	event_ingroup	1.540210	3
79.255000	0	event_RT	1.540210	3
90.786600	3.513900	event_accept_outgroup	1.032710	5
90.786600	3.513900	event_outgroup	1.032710	5
90.786600	33.500000	block_outgroup_unfair	n/a	n/a
95.053500	3.507510	event_accept_outgroup	1.028920	3
95.053500	3.507510	event_outgroup	1.028920	3
95.053500	0	event_RT	1.028920	3
99.313900	3.507290	event_accept_outgroup	2.264240	1
99.313900	3.507290	event_outgroup	2.264240	1
99.313900	0	event_RT	2.264240	1
103.573000	3.509530	event_accept_outgroup	1.019350	9
103.573000	3.509530	event_outgroup	1.019350	9
103.573000	0	event_RT	1.019350	9
107.849000	3.517650	event_accept_outgroup	1.556460	1
107.849000	3.517650	event_outgroup	1.556460	1
107.849000	0	event_RT	1.556460	1
112.119000	3.510470	event_accept_outgroup	1.599150	1
112.119000	3.510470	event_outgroup	1.599150	1
112.119000	0	event_RT	1.599150	1
116.379000	3.506380	event_accept_outgroup	1.368970	3
116.379000	3.506380	event_outgroup	1.368970	3
116.379000	0	event_RT	1.368970	3
120.634000	3.511680	event_accept_outgroup	1.426990	4
120.634000	3.511680	event_outgroup	1.426990	4
120.634000	0	event_RT	1.426990	4
134.156000	3.517500	event_accept_computer	1.027950	5
134.156000	3.517500	event_computer	1.027950	5
134.156000	33.500000	block_computer_unfair	n/a	n/a
138.426000	3.516170	event_accept_computer	2.470090	2
138.426000	3.516170	event_computer	2.470090	2
138.426000	0	event_RT	2.470090	2
142.684000	3.510210	event_accept_computer	1.359520	2
142.684000	3.510210	event_computer	1.359520	2
142.684000	0	event_RT	1.359520	2
146.946000	3.508150	event_accept_computer	1.026770	3
146.946000	3.508150	event_computer	1.026770	3
146.946000	0	event_RT	1.026770	3
151.196000	3.511290	event_accept_computer	1.839300	3
151.196000	3.511290	event_computer	1.839300	3
151.196000	0	event_RT	1.839300	3
155.451000	3.513130	event_accept_computer	1.031510	10
155.451000	3.513130	event_computer	1.031510	10
155.451000	0	event_RT	1.031510	10
159.720000	3.517630	event_accept_computer	1.075810	2
159.720000	3.517630	event_computer	1.075810	2
159.720000	0	event_RT	1.075810	2
164.001000	3.517130	event_accept_computer	1.024210	4
164.001000	3.517130	event_computer	1.024210	4
164.001000	0	event_RT	1.024210	4
177.524000	3.517300	event_accept_outgroup	1.024150	7
177.524000	3.517300	event_outgroup	1.024150	7
177.524000	33.500000	block_outgroup_fair	n/a	n/a
181.794000	3.522490	event_accept_outgroup	1.017010	8
181.794000	3.522490	event_outgroup	1.017010	8
181.794000	0	event_RT	1.017010	8
186.069000	3.509880	event_accept_outgroup	1.021540	10
186.069000	3.509880	event_outgroup	1.021540	10
186.069000	0	event_RT	1.021540	10
190.336000	3.523010	event_accept_outgroup	1.451490	6
190.336000	3.523010	event_outgroup	1.451490	6
190.336000	0	event_RT	1.451490	6
194.612000	3.511780	event_accept_outgroup	1.888530	2
194.612000	3.511780	event_outgroup	1.888530	2
194.612000	0	event_RT	1.888530	2
198.882000	3.523930	event_accept_outgroup	1.031890	9
198.882000	3.523930	event_outgroup	1.031890	9
198.882000	0	event_RT	1.031890	9
203.158000	3.518340	event_accept_outgroup	1.184980	8
203.158000	3.518340	event_outgroup	1.184980	8
203.158000	0	event_RT	1.184980	8
207.426000	3.520910	event_accept_outgroup	1.031070	9
207.426000	3.520910	event_outgroup	1.031070	9
207.426000	0	event_RT	1.031070	9
218.945000	3.520500	event_accept_computer	1.019320	10
218.945000	3.520500	event_computer	1.019320	10
218.945000	33.500000	block_computer_fair	n/a	n/a
223.207000	3.517530	event_accept_computer	1.020310	9
223.207000	3.517530	event_computer	1.020310	9
223.207000	0	event_RT	1.020310	9
227.471000	3.528350	event_accept_computer	1.335250	3
227.471000	3.528350	event_computer	1.335250	3
227.471000	0	event_RT	1.335250	3
231.757000	3.525660	event_accept_computer	1.029810	8
231.757000	3.525660	event_computer	1.029810	8
231.757000	0	event_RT	1.029810	8
236.035000	3.518590	event_accept_computer	1.031630	8
236.035000	3.518590	event_computer	1.031630	8
236.035000	0	event_RT	1.031630	8
240.303000	3.528340	event_accept_computer	1.376460	5
240.303000	3.528340	event_computer	1.376460	5
240.303000	0	event_RT	1.376460	5
244.583000	3.517950	event_accept_computer	1.026210	10
244.583000	3.517950	event_computer	1.026210	10
244.583000	0	event_RT	1.026210	10
248.844000	3.526420	event_accept_computer	1.028370	8
248.844000	3.526420	event_computer	1.028370	8
248.844000	0	event_RT	1.028370	8
264.363000	3.517820	event_accept_ingroup	1.163680	3
264.363000	3.517820	event_ingroup	1.163680	3
264.363000	33.500000	block_ingroup_fair	n/a	n/a
268.629000	3.514560	event_accept_ingroup	1.027180	7
268.629000	3.514560	event_ingroup	1.027180	7
268.629000	0	event_RT	1.027180	7
272.912000	3.514230	event_accept_ingroup	1.024500	5
272.912000	3.514230	event_ingroup	1.024500	5
272.912000	0	event_RT	1.024500	5
277.181000	3.518490	event_accept_ingroup	1.018410	7
277.181000	3.518490	event_ingroup	1.018410	7
277.181000	0	event_RT	1.018410	7
281.455000	3.517790	event_accept_ingroup	1.024290	8
281.455000	3.517790	event_ingroup	1.024290	8
281.455000	0	event_RT	1.024290	8
285.726000	3.529330	event_accept_ingroup	1.033370	10
285.726000	3.529330	event_ingroup	1.033370	10
285.726000	0	event_RT	1.033370	10
290.024000	3.511020	event_accept_ingroup	1.031340	8
290.024000	3.511020	event_ingroup	1.031340	8
290.024000	0	event_RT	1.031340	8
294.285000	3.515280	event_accept_ingroup	1.032980	7
294.285000	3.515280	event_ingroup	1.032980	7
294.285000	0	event_RT	1.032980	7
305.803000	3.513570	event_accept_outgroup	1.189530	7
305.803000	3.513570	event_outgroup	1.189530	7
305.803000	33.500000	block_outgroup_fair	n/a	n/a
310.069000	3.505680	event_accept_outgroup	1.202820	10
310.069000	3.505680	event_outgroup	1.202820	10
310.069000	0	event_RT	1.202820	10
314.320000	3.524070	event_accept_outgroup	2.481020	1
314.320000	3.524070	event_outgroup	2.481020	1
314.320000	0	event_RT	2.481020	1
318.588000	3.523630	event_accept_outgroup	1.027470	6
318.588000	3.523630	event_outgroup	1.027470	6
318.588000	0	event_RT	1.027470	6
322.869000	3.510190	event_accept_outgroup	1.025820	7
322.869000	3.510190	event_outgroup	1.025820	7
322.869000	0	event_RT	1.025820	7
327.132000	3.511200	event_accept_outgroup	1.026010	9
327.132000	3.511200	event_outgroup	1.026010	9
327.132000	0	event_RT	1.026010	9
331.401000	3.512420	event_accept_outgroup	1.020590	8
331.401000	3.512420	event_outgroup	1.020590	8
331.401000	0	event_RT	1.020590	8
335.662000	3.511430	event_accept_outgroup	1.405250	7
335.662000	3.511430	event_outgroup	1.405250	7
335.662000	0	event_RT	1.405250	7
351.172000	3.503810	event_accept_outgroup	1.582450	1
351.172000	3.503810	event_outgroup	1.582450	1
351.172000	33.500000	block_outgroup_unfair	n/a	n/a
355.425000	3.515400	event_accept_outgroup	1.559360	1
355.425000	3.515400	event_outgroup	1.559360	1
355.425000	0	event_RT	1.559360	1
359.681000	3.510460	event_accept_outgroup	1.349870	5
359.681000	3.510460	event_outgroup	1.349870	5
359.681000	0	event_RT	1.349870	5
363.945000	3.509270	event_accept_outgroup	1.033090	10
363.945000	3.509270	event_outgroup	1.033090	10
363.945000	0	event_RT	1.033090	10
368.222000	3.512490	event_accept_outgroup	1.018480	4
368.222000	3.512490	event_outgroup	1.018480	4
368.222000	0	event_RT	1.018480	4
372.494000	3.517720	event_accept_outgroup	1.026560	3
372.494000	3.517720	event_outgroup	1.026560	3
372.494000	0	event_RT	1.026560	3
376.770000	3.511040	event_accept_outgroup	1.030850	3
376.770000	3.511040	event_outgroup	1.030850	3
376.770000	0	event_RT	1.030850	3
381.033000	3.516040	event_accept_outgroup	1.030310	2
381.033000	3.516040	event_outgroup	1.030310	2
381.033000	0	event_RT	1.030310	2
