onset	duration	trial_type	response_time	Offer
4.002160	3.527890	missed_trial	n/a	3
4.002160	33.500000	block_computer_unfair	n/a	n/a
8.288460	3.512540	event_reject_computer	2.744960	2
8.288460	3.512540	event_computer	2.744960	2
8.288460	0	event_RT	2.744960	2
12.557400	3.508270	missed_trial	n/a	1
16.818900	3.528400	event_reject_computer	2.308170	6
16.818900	3.528400	event_computer	2.308170	6
16.818900	0	event_RT	2.308170	6
21.113300	3.524510	event_accept_computer	2.543180	1
21.113300	3.524510	event_computer	2.543180	1
21.113300	0	event_RT	2.543180	1
25.404500	3.552900	missed_trial	n/a	1
29.723700	3.519000	event_accept_computer	1.493410	4
29.723700	3.519000	event_computer	1.493410	4
29.723700	0	event_RT	1.493410	4
34.015000	3.502910	event_accept_computer	1.232180	10
34.015000	3.502910	event_computer	1.232180	10
34.015000	0	event_RT	1.232180	10
49.529800	3.519340	event_accept_computer	1.404200	10
49.529800	3.519340	event_computer	1.404200	10
49.529800	33.500000	block_computer_fair	n/a	n/a
53.807000	3.507560	event_reject_computer	1.340540	5
53.807000	3.507560	event_computer	1.340540	5
53.807000	0	event_RT	1.340540	5
58.076600	3.516790	event_accept_computer	1.017220	10
58.076600	3.516790	event_computer	1.017220	10
58.076600	0	event_RT	1.017220	10
62.348700	3.510830	event_accept_computer	1.025050	10
62.348700	3.510830	event_computer	1.025050	10
62.348700	0	event_RT	1.025050	10
66.614500	3.517300	event_accept_computer	1.022270	10
66.614500	3.517300	event_computer	1.022270	10
66.614500	0	event_RT	1.022270	10
70.903900	3.521800	event_accept_computer	1.029620	10
70.903900	3.521800	event_computer	1.029620	10
70.903900	0	event_RT	1.029620	10
75.167800	3.521660	event_accept_computer	1.379120	1
75.167800	3.521660	event_computer	1.379120	1
75.167800	0	event_RT	1.379120	1
79.456000	3.530840	event_accept_computer	1.020300	7
79.456000	3.530840	event_computer	1.020300	7
79.456000	0	event_RT	1.020300	7
91.008100	3.520690	event_accept_ingroup	1.608270	6
91.008100	3.520690	event_ingroup	1.608270	6
91.008100	33.500000	block_ingroup_fair	n/a	n/a
95.295500	3.528020	event_accept_ingroup	1.018180	8
95.295500	3.528020	event_ingroup	1.018180	8
95.295500	0	event_RT	1.018180	8
99.592000	3.520550	event_accept_ingroup	1.017890	9
99.592000	3.520550	event_ingroup	1.017890	9
99.592000	0	event_RT	1.017890	9
103.870000	3.511600	event_accept_ingroup	1.019860	9
103.870000	3.511600	event_ingroup	1.019860	9
103.870000	0	event_RT	1.019860	9
108.149000	3.510510	event_accept_ingroup	1.020730	7
