onset	duration	trial_type	response_time	Offer
3.996000	3.553050	missed_trial	n/a	10
3.996000	33.500000	block_computer_unfair	n/a	n/a
8.316840	3.517540	event_reject_computer	1.749590	4
8.316840	3.517540	event_computer	1.749590	4
8.316840	0	event_RT	1.749590	4
12.593800	3.517420	event_reject_computer	1.519620	3
12.593800	3.517420	event_computer	1.519620	3
12.593800	0	event_RT	1.519620	3
16.867900	3.505710	event_reject_computer	1.358760	2
16.867900	3.505710	event_computer	1.358760	2
16.867900	0	event_RT	1.358760	2
21.131600	3.529420	event_reject_computer	1.308310	1
21.131600	3.529420	event_computer	1.308310	1
21.131600	0	event_RT	1.308310	1
25.433400	3.515730	event_reject_computer	1.752900	5
25.433400	3.515730	event_computer	1.752900	5
25.433400	0	event_RT	1.752900	5
29.707800	3.523060	event_reject_computer	1.024970	3
29.707800	3.523060	event_computer	1.024970	3
29.707800	0	event_RT	1.024970	3
34.002800	3.520910	event_reject_computer	1.476320	1
34.002800	3.520910	event_computer	1.476320	1
34.002800	0	event_RT	1.476320	1
49.529700	3.515980	event_reject_ingroup	2.236180	2
49.529700	3.515980	event_ingroup	2.236180	2
49.529700	33.500000	block_ingroup_unfair	n/a	n/a
53.812100	3.520910	event_reject_ingroup	1.767430	3
53.812100	3.520910	event_ingroup	1.767430	3
53.812100	0	event_RT	1.767430	3
58.099000	3.509970	event_accept_ingroup	1.426710	6
58.099000	3.509970	event_ingroup	1.426710	6
58.099000	0	event_RT	1.426710	6
62.369900	3.525450	event_accept_ingroup	1.019030	7
62.369900	3.525450	event_ingroup	1.019030	7
62.369900	0	event_RT	1.019030	7
66.652100	3.517140	event_reject_ingroup	1.016770	3
66.652100	3.517140	event_ingroup	1.016770	3
66.652100	0	event_RT	1.016770	3
70.922400	3.518690	event_reject_ingroup	1.026520	4
70.922400	3.518690	event_ingroup	1.026520	4
70.922400	0	event_RT	1.026520	4
75.212800	3.515060	event_reject_ingroup	1.032890	4
75.212800	3.515060	event_ingroup	1.032890	4
75.212800	0	event_RT	1.032890	4
79.483600	3.505120	event_reject_ingroup	1.141880	2
