trial_number	partner	rating_dimension	response
1	friend	trustworthiness	8
2	stranger	trustworthiness	7
3	computer	trustworthiness	7
4	friend	likeability	9
5	stranger	likeability	6
6	computer	likeability	7
7	friend	approachability	8
8	stranger	approachability	4
9	computer	approachability	7
