trial_number	partner	rating_dimension	response
1	friend	trustworthiness	10
2	stranger	trustworthiness	6
3	computer	trustworthiness	6
4	friend	likeability	10
5	stranger	likeability	8
6	computer	likeability	6
7	friend	approachability	10
8	stranger	approachability	9
9	computer	approachability	8
