trial_number	partner	rating_dimension	response
1	similar	fairness	6
2	dissimilar	fairness	8
3	computer	fairness	7
4	similar	likeability	7
5	dissimilar	likeability	8
6	computer	likeability	5
7	similar	anger	9
8	dissimilar	anger	7
9	computer	anger	5
10	similar	satisfaction	5
11	dissimilar	satisfaction	7
12	computer	satisfaction	5
