trial_number	partner	rating_dimension	response
1	similar	fairness	8
2	dissimilar	fairness	5
3	computer	fairness	0
4	similar	likeability	10
5	dissimilar	likeability	10
6	computer	likeability	0
7	similar	anger	5
8	dissimilar	anger	5
9	computer	anger	0
10	similar	satisfaction	10
11	dissimilar	satisfaction	10
12	computer	satisfaction	5
