trial_number	partner	rating_dimension	response
1	friend	trustworthiness	10
2	stranger	trustworthiness	5
3	computer	trustworthiness	0
4	friend	likeability	10
5	stranger	likeability	5
6	computer	likeability	0
7	friend	approachability	10
8	stranger	approachability	5
9	computer	approachability	0
