trial_number	partner	rating_dimension	response
1	similar	fairness	0
2	dissimilar	fairness	0
3	computer	fairness	1
4	similar	likeability	0
5	dissimilar	likeability	0
6	computer	likeability	1
7	similar	anger	10
8	dissimilar	anger	10
9	computer	anger	9
10	similar	satisfaction	0
11	dissimilar	satisfaction	0
12	computer	satisfaction	1
