trial_number	partner	rating_dimension	response
1	friend	trustworthiness	5
2	stranger	trustworthiness	1
3	computer	trustworthiness	3
4	friend	likeability	3
5	stranger	likeability	0
6	computer	likeability	3
7	friend	approachability	10
8	stranger	approachability	4
9	computer	approachability	0
