"","participant_id","partner","IsFairBlock","proportion_accept"
"1","sub-106",2,"0",0.166666666666667
"2","sub-106",1,"1",0.75
"3","sub-106",2,"1",0.708333333333333
"4","sub-106",3,"1",0.75
"5","sub-106",1,"0",0.0833333333333333
"6","sub-106",3,"0",0.125
"7","sub-109",3,"1",1
"8","sub-109",2,"1",0.956521739130435
"9","sub-109",1,"0",0.857142857142857
"10","sub-109",1,"1",1
"11","sub-109",2,"0",0.9
"12","sub-109",3,"0",0.7
"13","sub-104",2,"1",1
"14","sub-104",2,"0",1
"15","sub-104",3,"0",1
"16","sub-104",1,"0",1
"17","sub-104",1,"1",1
"18","sub-104",3,"1",1
"19","sub-110",2,"0",0.458333333333333
"20","sub-110",1,"1",0.916666666666667
"21","sub-110",2,"1",0.875
"22","sub-110",3,"1",0.875
"23","sub-110",3,"0",0.333333333333333
"24","sub-110",1,"0",0.416666666666667
"25","sub-105",2,"0",0.5
"26","sub-105",2,"1",1
"27","sub-105",3,"1",0.833333333333333
"28","sub-105",1,"1",0.875
"29","sub-105",1,"0",0.434782608695652
"30","sub-105",3,"0",0.5
"31","sub-108",1,"0",0.25
"32","sub-108",3,"1",0.875
"33","sub-108",2,"1",0.875
"34","sub-108",1,"1",0.833333333333333
"35","sub-108",3,"0",0.5
"36","sub-108",2,"0",0.25
"37","sub-107",2,"1",0.782608695652174
"38","sub-107",1,"1",0.5
"39","sub-107",2,"0",0.208333333333333
"40","sub-107",1,"0",0.291666666666667
"41","sub-107",3,"0",0.434782608695652
"42","sub-107",3,"1",0.791666666666667
"43","sub-111",3,"1",0.833333333333333
"44","sub-111",2,"1",0.91304347826087
"45","sub-111",2,"0",0.541666666666667
"46","sub-111",1,"0",0.5
"47","sub-111",3,"0",0.333333333333333
"48","sub-111",1,"1",0.875
"49","sub-112",1,"0",0.833333333333333
"50","sub-112",2,"0",0.708333333333333
"51","sub-112",3,"0",0.583333333333333
"52","sub-112",3,"1",0.916666666666667
"53","sub-112",2,"1",0.875
"54","sub-112",1,"1",0.91304347826087
"55","sub-113",1,"0",0.125
"56","sub-113",2,"0",0.208333333333333
"57","sub-113",3,"0",0.208333333333333
"58","sub-113",1,"1",0.791666666666667
"59","sub-113",3,"1",0.833333333333333
"60","sub-113",2,"1",0.875
"61","sub-115",1,"1",0.636363636363636
"62","sub-115",2,"1",0.583333333333333
"63","sub-115",3,"0",0.608695652173913
"64","sub-115",2,"0",0.708333333333333
"65","sub-115",3,"1",0.458333333333333
"66","sub-115",1,"0",0.541666666666667
"67","sub-116",2,"0",0.173913043478261
"68","sub-116",3,"1",0.791666666666667
"69","sub-116",1,"1",0.75
"70","sub-116",2,"1",0.75
"71","sub-116",1,"0",0.125
"72","sub-116",3,"0",0.125
"73","sub-117",2,"0",0.791666666666667
"74","sub-117",1,"0",0.75
"75","sub-117",1,"1",0.916666666666667
"76","sub-117",3,"1",0.875
"77","sub-117",3,"0",0.791666666666667
"78","sub-117",2,"1",0.958333333333333
"79","sub-118",1,"1",0.875
"80","sub-118",1,"0",0.708333333333333
"81","sub-118",2,"1",0.791666666666667
"82","sub-118",2,"0",0.541666666666667
"83","sub-118",3,"1",0.833333333333333
"84","sub-118",3,"0",0.708333333333333
"85","sub-120",3,"0",0.208333333333333
"86","sub-120",1,"1",0.75
"87","sub-120",3,"1",0.75
"88","sub-120",2,"0",0.166666666666667
"89","sub-120",1,"0",0.25
"90","sub-120",2,"1",0.833333333333333
"91","sub-121",1,"1",0.833333333333333
"92","sub-121",1,"0",0.291666666666667
"93","sub-121",3,"0",0.5
"94","sub-121",2,"0",0.416666666666667
"95","sub-121",3,"1",0.875
"96","sub-121",2,"1",0.916666666666667
"97","sub-122",2,"0",0.826086956521739
"98","sub-122",3,"0",0.916666666666667
"99","sub-122",1,"1",0.958333333333333
"100","sub-122",2,"1",0.958333333333333
"101","sub-122",3,"1",0.958333333333333
"102","sub-122",1,"0",0.875
"103","sub-124",1,"0",0.826086956521739
"104","sub-124",1,"1",1
"105","sub-124",2,"0",0.833333333333333
"106","sub-124",3,"1",1
"107","sub-124",3,"0",0.833333333333333
"108","sub-124",2,"1",1
"109","sub-125",3,"0",0.260869565217391
"110","sub-125",2,"1",0.782608695652174
"111","sub-125",1,"0",0.25
"112","sub-125",1,"1",0.875
"113","sub-125",2,"0",0.291666666666667
"114","sub-125",3,"1",0.791666666666667
"115","sub-126",3,"0",1
"116","sub-126",3,"1",1
"117","sub-126",2,"1",1
"118","sub-126",2,"0",1
"119","sub-126",1,"0",1
"120","sub-126",1,"1",1
"121","sub-127",1,"0",0.130434782608696
"122","sub-127",2,"1",0.666666666666667
"123","sub-127",1,"1",0.583333333333333
"124","sub-127",3,"0",0.0416666666666667
"125","sub-127",3,"1",0.541666666666667
"126","sub-127",2,"0",0.125
"127","sub-128",3,"1",0.208333333333333
"128","sub-128",1,"0",0
"129","sub-128",3,"0",0
"130","sub-128",2,"1",0.125
"131","sub-128",1,"1",0.125
"132","sub-128",2,"0",0.0416666666666667
"133","sub-129",1,"1",0.869565217391304
"134","sub-129",2,"1",0.875
"135","sub-129",1,"0",0.25
"136","sub-129",3,"1",0.875
"137","sub-129",2,"0",0.25
"138","sub-129",3,"0",0.291666666666667
"139","sub-130",1,"1",0.956521739130435
"140","sub-130",1,"0",1
"141","sub-130",2,"0",1
"142","sub-130",2,"1",1
"143","sub-130",3,"1",1
"144","sub-130",3,"0",1
"145","sub-131",1,"1",1
"146","sub-131",3,"0",0.739130434782609
"147","sub-131",1,"0",0.833333333333333
"148","sub-131",3,"1",1
"149","sub-131",2,"1",0.826086956521739
"150","sub-131",2,"0",0.75
"151","sub-132",1,"0",0.956521739130435
"152","sub-132",2,"0",1
"153","sub-132",3,"0",1
"154","sub-132",1,"1",1
"155","sub-132",2,"1",1
"156","sub-132",3,"1",1
"157","sub-133",2,"1",0.954545454545455
"158","sub-133",3,"0",0.916666666666667
"159","sub-133",1,"1",1
"160","sub-133",2,"0",1
"161","sub-133",3,"1",1
"162","sub-133",1,"0",1
"163","sub-134",2,"0",0.826086956521739
"164","sub-134",2,"1",1
"165","sub-134",1,"1",1
"166","sub-134",3,"0",0.91304347826087
"167","sub-134",1,"0",0.869565217391304
"168","sub-134",3,"1",0.954545454545455
"169","sub-135",2,"0",0.136363636363636
"170","sub-135",1,"1",0.333333333333333
"171","sub-135",2,"1",0.291666666666667
"172","sub-135",3,"1",0.208333333333333
"173","sub-135",3,"0",0
"174","sub-135",1,"0",0
"175","sub-136",2,"1",1
"176","sub-136",1,"0",0.625
"177","sub-136",1,"1",0.916666666666667
"178","sub-136",3,"0",0.5
"179","sub-136",3,"1",0.958333333333333
"180","sub-136",2,"0",0.708333333333333
"181","sub-137",3,"1",0.826086956521739
"182","sub-137",2,"1",0.75
"183","sub-137",2,"0",0.125
"184","sub-137",3,"0",0.173913043478261
"185","sub-137",1,"0",0.166666666666667
"186","sub-137",1,"1",0.75
"187","sub-138",1,"0",0.5
"188","sub-138",2,"1",0.91304347826087
"189","sub-138",3,"1",0.826086956521739
"190","sub-138",2,"0",0.708333333333333
"191","sub-138",1,"1",0.904761904761905
"192","sub-138",3,"0",0.714285714285714
"193","sub-140",2,"1",0.91304347826087
"194","sub-140",2,"0",0.583333333333333
